allow	cho phép
appliance	đồ phụ tùng
predesigned	cho trước, thiết lập trước
episperm	vỏ (hạt); bao (tinh trùng)
book	vở
about	ước chừng
bring	cầm lại, đem lại, mang lại, xách lại, đưa lại
entryway	lối đi vào
apostil	lời ghi thêm bên lề (một văn kiện)
alphabet	bảng chữ cái
briefing	sự chỉ dẫn tường tận
a fortiori	huống hồ; huống là
broadish	hơi rộng
hanvuhoanglong	đẹp trai
a font	thấu triệt; cặn kẽ; rõ ngọn nghành
brigade	lữ đoàn
absent	vắng mặt
hate	ác
bridecake	bánh cưới
coiffeuse	thợ cắt tóc, thợ làm đầu
apperceive	(tâm lý học) tổng giác
a	một
apparition	sự hiện ra, sự xuất hiện
bridal	đám cưới, tiệc cưới; liên hoan đám cưới
breech	khoá nòng (súng)
cohesively	gắn bó, liên kết
pose	đặt
ant	con kiến
polyphase	(vật lí) nhiều pha
pool	số tiền đặt cọc; hợp nhất; gộp lại
porous	xốp
accept	chấp nhận
bristly	đầy lông cứng
appetitive	làm cho thèm (ăn)
erumpent	thực vật
eonian	vĩnh cữu; vô cùng
apartment	căn hộ
append	treo vào
briny	mặn
