appliance	đồ phụ tùng
bred	nòi, giống
predesigned	cho trước, thiết lập trước
book	vở | sách
about	ước chừng
bring	cầm lại, đem lại, mang lại, xách lại, đưa lại
entryway	lối đi vào
apostil	lời ghi thêm bên lề (một văn kiện)
alphabet	bảng chữ cái
briefing	sự chỉ dẫn tường tận
a fortiori	huống hồ; huống là
broadish	hơi rộng
a font	thấu triệt; cặn kẽ; rõ ngọn nghành
brigade	lữ đoàn
absent	vắng mặt
bridecake	bánh cưới
coiffeuse	thợ cắt tóc, thợ làm đầu
all	tất cả
apperceive	(tâm lý học) tổng giác
apparition	sự hiện ra, sự xuất hiện
a	a
bridal	đám cưới, tiệc cưới; liên hoan đám cưới
breech	khoá nòng (súng)
cohesively	gắn bó, liên kết
pose	đặt
ant	con kiến
polyphase	(vật lí) nhiều pha
pool	số tiền đặt cọc; hợp nhất; gộp lại
porous	xốp
accept	chấp nhận
bristly	đầy lông cứng
appetitive	làm cho thèm (ăn)
erumpent	thực vật
eonian	vĩnh cữu; vô cùng
apartment	căn hộ
append	treo vào
briny	mặn
